Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.3612,Tue Sep 11 07:00:13 +0000 2018,0.0,0.828,0.172,❤️ This club in Glasgow is running nights aimed at promoting inclusivity. https://t.co/zCXTsZVJ2v,96,@BBC
0.0,Mon Sep 10 19:06:03 +0000 2018,0.0,1.0,0.0,"James Fox tells the story of Australia's indigenous culture, the oldest continuous culture anywhere in the world, a… https://t.co/5pAyJOvHUW",97,@BBC
0.0,Mon Sep 10 18:05:05 +0000 2018,0.0,1.0,0.0,Cooling down - elephant style 🐘 https://t.co/niviG9h3Cg,98,@BBC
-0.8402,Mon Sep 10 17:02:07 +0000 2018,0.444,0.556,0.0,"Suicide kills more men under 50 than anything else.

#WorldSuicidePreventionDay #WSPD

https://t.co/sshexDg1vi",99,@BBC
0.9642,Mon Sep 17 22:01:52 +0000 2018,0.0,0.473,0.527,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",0,@CBS
0.0,Mon Sep 17 21:41:20 +0000 2018,0.0,1.0,0.0,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,1,@CBS
0.3612,Mon Sep 17 19:18:37 +0000 2018,0.0,0.737,0.263,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,2,@CBS
-0.2263,Sun Sep 16 23:48:59 +0000 2018,0.091,0.909,0.0,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",3,@CBS
0.0,Sun Sep 16 14:33:46 +0000 2018,0.0,1.0,0.0,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,4,@CBS
-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.159,0.771,0.07,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",5,@CBS
